Item ID,Title
CWC-B-TN328Y,Compatible Brother TN-328Y Yellow Toner Cartridge Extra High Capacity
CWC-B-TN329BK,Compatible Brother TN-329BK Black Toner Cartridge Extra High Capacity
CWC-B-TN329C,Compatible Brother TN-329C Cyan Toner Cartridge Extra High Capacity
CWC-B-TN329M,Compatible Brother TN-329M Magenta Toner Cartridge Extra High Capacity
CWC-B-TN329Y,Compatible Brother TN-329Y Yellow Toner Cartridge Extra High Capacity
CWC-B-TN3390,Compatible Brother TN-3390 Black Toner Cartridge Extra High Capacity
CWC-B-TN3430,Compatible Brother TN-3430 Black Toner
CWC-B-TN3480,Compatible Brother TN-3480 Black Toner Cartridge High Capacity
CWC-B-TN3512,Compatible Brother TN-3512 Black Toner Cartridge Extra High Capacity
CWC-B-TN3520,Compatible Brother TN-3520 Black Toner Cartridge 20k
CWC-B-TN5500,Compatible Brother TN-5500 Black Toner
CWC-B-TN900BK,Compatible Brother TN-900BK Black Toner
CWC-B-TN900C,Compatible Brother TN-900C Cyan Toner
CWC-B-TN900M,Compatible Brother TN-900M Magenta Toner
CWC-B-TN900Y,Compatible Brother TN-900Y Yellow Toner
CWC-C-CLI526BK,Compatible Canon CLI-526BK Black (4540B001)
CWC-C-CLI526C,Compatible Canon CLI-526C Cyan (4541B001)
CWC-C-CLI526M,Compatible Canon CLI-526M Magenta (4542B001)
CWC-C-CLI526Y,Compatible Canon CLI-526Y Yellow (4543B001)
CWC-C-PGI1500XLBK,Compatible Canon PGI-1500XL BK Black (9182B001)
CWC-C-PGI1500XLC,Compatible Canon PGI-1500XLC Cyan (9193B001)
CWC-C-PGI1500XLM,Compatible Canon PGI-1500XLM Magenta (9194B001)
CWC-C-PGI1500XLY,Compatible Canon PGI-1500XLY Yellow (9195B001)
CWC-C-PGI525PGBK,Compatible Canon PGI-525PGBK Black (4529B001)
CWC-C-PGI550XLPGBK,Compatible Canon PGI-550XL PGBK Pigment black (6431B001)
CWC-C-PG512XLBK,Compatible Canon PG-512 Black Inkjet Cartridge (2969B001)
CWC-C-CL513XL,Compatible Canon CL-513 Tri-Colour
CWC-C-CL511,Compatible Canon CL-511 Tri-Colour
CWC-C-CLI551XLGY,Compatible Canon CLI-551XLGY Grey (6447B001)
CWC-C-CLI8BK,Compatible Canon CLI-8BK Black Inkjet Cartridge (0620B001)
CWC-C-CLI8C,Compatible Canon CLI-8C Cyan Inkjet Cartridge (0621B001)
CWC-C-CLI8M,Compatible Canon CLI-8M Magenta Inkjet Cartridge (0622B001)
CWC-C-CLI8Y,Compatible Canon CLI-8Y Yellow Inkjet Cartridge (0623B001)
CWC-C-PGI2500XLBK,Compatible Canon PGI-2500XLBK Black (9254B001)
CWC-C-PGI2500XLC,Compatible Canon PGI-2500XLC Cyan (9265B001)
CWC-C-PGI2500XLM,Compatible Canon PGI-2500XLM Magenta (9266B001)
CWC-C-PGI2500XLY,Compatible Canon PGI-2500XLY Yellow (9267B001)
CWC-C-PGI555XXLPGBK,Compatible Canon PGI-555PGBKXXL Black Inkjet Cartridge HC (8049B001)
CWC-C-PGI5BK,Compatible Canon PGI-5BK Black (0628B001)
CWC-C-CL546XL,Compatible Canon CL-546XL Tri-Colour (8288B004)
CWC-C-PG545XLBK,Compatible Canon PG-545XL Black (8286B001)
CWC-C-CRG716Y,Compatible Canon CRG-716Y Yellow Toner Cartridge (1977B002)
CWC-C-CRG716M,Compatible Canon CRG-716M Magenta Toner Cartridge (1978B002)
CWC-C-CRG716C,Compatible Canon CRG-716C Cyan Toner Cartridge (1979B002)
CWC-C-CRG716K,Compatible Canon CRG-716K Black Toner Cartridge (1980B002)
CWC-C-CRG718Y,Compatible Canon CRG 718 Y Cartridge Yellow (2659B002)
CWC-C-CRG718M,Compatible Canon CRG 718 M Cartridge Magenta (2660B002)
CWC-C-CRG718C,Compatible Canon CRG 718 C Cartridge Cyan (2661B002)
CWC-C-CRG718K,Compatible Canon CRG 718 BK Cartridge Black (2662B002)
CWC-C-CRG725,Compatible Canon CRG 725 Cartridge Black (3484B002)
CWC-C-737BK,Compatible Canon 737 Black (9435B002)
CWC-C-CRG732Y,Compatible Canon CRG-732Y Cartridge Yellow (6260B002)
CWC-C-CRG732M,Compatible Canon CRG-732M Cartridge Magenta (6261B002)
CWC-C-CRG732C,Compatible Canon CRG-732C Cartridge Cyan (6262B002)
CWC-C-CRG732KBK,Compatible Canon CRG-732K Cartridge Black (6263B002)
CWC-C-CRG732HBK,Compatible Canon CRG-732H Cartridge Black (6264B002)
CWC-C-CRG731Y,Compatible Canon CRG-731Y Yellow (6269B002)
CWC-C-CRG731M,Compatible Canon CRG-731M Magenta (6270B002)
CWC-C-CRG731C,Compatible Canon CRG-731C Cyan (6271B002)
CWC-C-CRG731K,Compatible Canon CRG-731BK Black (6272B002)
CWC-C-CRG731HBK,Compatible Canon CRG-731HBK Cartridge Black (6273B002)
CWC-D-593-10312,Compatible Dell 593-10312 Black Toner Cartridge High Capacity
CWC-D-593-10338,Dell 593-10338 OPC Drum
CWC-D-593-10961,Compatible Dell 593-10961 Black Toner Cartridge High Capacity
CWC-D-593-BBBT,Compatible Dell 593-BBBT Cyan Toner Cartridge High Capacity
CWC-D-593-BBLL,Compatible Dell 593-BBLL Cyan Toner
CWC-D-593-BBLV,Compatible Dell 593-BBLV Yellow Toner
CWC-D-593-BBLZ,Compatible Dell 593-BBLZ Magenta Toner
CWC-E-T1281,Compatible Epson Black T1281 (C13T12814011)
CWC-E-T1282,Compatible Epson Cyan T1282 (C13T12824011)
CWC-E-T1283,Compatible Epson Magenta T1283 (C13T12834011)
CWC-E-T1284,Compatible Epson Yellow T1284 (C13T12844011)
CWC-E-T1291,Compatible Epson Black T1291 (C13T12914011)
CWC-E-T1292,Compatible Epson Cyan T1292 (C13T12924011)
CWC-E-T1293,Compatible Epson Magenta T1293 (C13T12934011)
CWC-E-T1294,Compatible Epson Yellow T1294 (C13T12944011)
CWC-E-16XLBK,Compatible Epson Singlepack Black 16XL Black (C13T16314010)
CWC-E-16XLC,Compatible Epson Cyan 16XL (C13T16324010)
CWC-E-16XLM,Compatible Epson Magenta 16XL (C13T16334010)
CWC-E-16XLY,Compatible Epson Yellow 16XL (C13T16344010)
CWC-E-18XLBK,Compatible Epson Singlepack Black 18XL (C13T18114010)
CWC-E-18XLC,Compatible Epson Singlepack Cyan 18XL (C13T18124010)
CWC-E-18XLM,Compatible Epson Singlepack Magenta 18XL (C13T18134010)
CWC-E-18XLY,Compatible Epson Singlepack Yellow 18XL (C13T18144010)
CWC-E-T0551,Compatible Epson Singlepack Black T0551 (C13T05514010)
CWC-E-T0552,Compatible Epson Singlepack Cyan T0552 (C13T05524010)
CWC-E-T0553,Compatible Epson Singlepack Magenta T0553 (C13T05534010)
CWC-E-T0554,Compatible Epson Singlepack Yellow T0554 (C13T05544010)
CWC-E-T0556,Compatible Epson Multipack 4-colours T0556 (C13T05564010)
CWC-E-T0611,Compatible Epson Black T0611 (C13T06114010)
CWC-E-T0612,Compatible Epson Cyan T0612 (C13T06124010)
CWC-E-T0613,Compatible Epson Magenta T0613 (C13T06134010)
CWC-E-T0614,Compatible Epson Yellow T0614 (C13T06144010)
CWC-E-T0615,Compatible Epson Multipack 4-colours T0615 (C13T06154010)
CWC-E-T0715,Compatible Epson Multipack 4-colours T0715 (C13T07154010)
CWC-E-T0791,Compatible Epson Singlepack Black T0791 Ink (C13T07914010)
CWC-E-T0792,Compatible Epson Singlepack Cyan T0792 Ink (C13T07924010)
CWC-E-T0793,Compatible Epson Singlepack Magenta T0793 Ink (C13T07934010)
CWC-E-T0794,Compatible Epson Singlepack Yellow T0794 Ink (C13T07944010)
CWC-E-T0795,Compatible Epson Singlepack Light Cyan T0795 Ink (C13T07954010)
CWC-E-T0796,Compatible Epson Singlepack Light Magenta T0796 Ink (C13T07964010)
CWC-E-T0801,Compatible Epson Singlepack Black T0801 Ink (C13T08014011)
CWC-E-T0802,Compatible Epson Singlepack Cyan T0802 Ink (C13T08024011)
CWC-E-T0803,Compatible Epson Singlepack Magenta T0803 Ink (C13T08034011)
CWC-E-T0804,Compatible Epson Singlepack Yellow T0804 Ink (C13T08044011)
CWC-E-T0805,Compatible Epson Singlepack Light Cyan T0805 Ink (C13T08054011)
CWC-E-T0806,Compatible Epson Singlepack Light Magenta T0806 Ink (C13T08064011)
CWC-E-T0807-6COL,Compatible Epson Multipack 6-colours T0807 Ink (C13T08074010)
CWC-E-T1285,Compatible Epson Multipack 4-colours T1285 (C13T12854010)
CWC-E-T1295,Compatible Epson Multipack 4-colours T1295 (C13T12954010)
CWC-E-T1301,Compatible Epson Black T1301 (C13T13014010)
CWC-E-T1302,Compatible Epson Cyan T1302 (C13T13024010)
CWC-E-T1303,Compatible Epson Magenta T1303 (C13T13034010)
CWC-E-T1304,Compatible Epson Yellow T1304 (C13T13044010)
CWC-E-16XLMP,Compatible Epson 16XL Multipack (C13T16364010)
CWC-E-18XLMP,Compatible Epson Multipack 4-colours 18XL (C13T18164010)
CWC-E-S050590,Compatible Epson C13S050590 Yellow Toner
CWC-E-S050591,Compatible Epson C13S050591 Magenta Toner
CWC-E-S050592,Compatible Epson C13S050592 Cyan Toner
CWC-E-S050593,Compatible Epson C13S050593 Black Toner
CWC-E-S050187,Compatible Epson C13S050187 Yellow Toner Cartridge High Capacity
CWC-E-C13S050188,Compatible Epson C13S050188 Magenta Toner Cartridge High Capacity
CWC-E-S050189,Compatible Epson C13S050189 Cyan Toner Cartridge High Capacity
CWC-E-S050190,Compatible Epson C13S050190 Black Toner Cartridge High Capacity
CWC-E-C13S050242,Compatible Epson C13S050242 Yellow Toner
CWC-E-C13S050243,Compatible Epson C13S050243 Magenta Toner
CWC-E-S050244,Compatible Epson C13S050244 Cyan Toner
CWC-E-S050245,Compatible Epson C13S050245 Black Toner
CWC-E-C13S050627,Compatible Epson C13S050627 Yellow Toner Cartridge
CWC-E-C13S050628,Compatible Epson C13S050628 Magenta Toner Cartridge
CWC-E-C13S050629,Compatible Epson C13S050629 Cyan Toner Cartridge
CWC-E-S050630,Compatible Epson C13S050630 Black Toner
CWC-E-S050166,Compatible Epson C13S050166 Black Toner Cartridge High Capacity
CWC-E-S050226,Compatible Epson C13S050226 Yellow Toner Cartridge High Capacity
CWC-E-S050227,Compatible Epson C13S050227 Magenta Toner Cartridge High Capacity
CWC-E-S050228,Compatible Epson C13S050228 Cyan Toner Cartridge High Capacity
CWC-E-S050229,Compatible Epson C13S050229 Black Toner Cartridge High Capacity
CWC-E-C13S050316,Compatible Epson C13S050316 Yellow Toner
CWC-E-C13S050317,Compatible Epson C13S050317 Magenta Toner
CWC-E-C13S050318,Compatible Epson C13S050318 Cyan Toner
CWC-E-C13S050319,Compatible Epson C13S050319 Black Toner
CWC-E-C13S050554,Compatible Epson C13S050554 Yellow Toner Cartridge High Capacity
CWC-E-C13S050555,Compatible Epson C13S050555 Magenta Toner Cartridge High Capacity
CWC-E-C13S050556,Compatible Epson C13S050556 Cyan Toner Cartridge High Capacity
CWC-E-C13S050557,Compatible Epson C13S050557 Black Toner Cartridge High Capacity
CWC-E-C13S050583,Compatible Epson C13S050583 Black Toner
CWC-E-C13S050584,Compatible Epson C13S050584 Black Toner Cartridge Return High Capacity
CWC-E-C13S050602,Compatible Epson C13S050602 Yellow Toner
CWC-E-C13S050603,Compatible Epson C13S050603 Magenta Toner
CWC-E-C13S050604,Compatible Epson C13S050604 Cyan Toner
CWC-E-C13S050605,Compatible Epson C13S050605 Black Toner
CWC-E-C13S050650,Compatible Epson C13S050650 Black Toner Cartridge High Capacity
CWC-E-C13S050709,Compatible Epson C13S050709 Black Toner
CWC-E-S051055,Compatible Epson S051055 Drum Unit 20k (C13S051055)
CWC-E-S051099,Compatible Epson C13S051099 OPC Drum
CWC-E-S051124,Compatible Epson C13S051124 Yellow Toner Cartridge High Capacity
CWC-E-S051125,Compatible Epson C13S051125 Magenta Toner Cartridge High Capacity
CWC-E-S051126,Compatible Epson C13S051126 Cyan Toner Cartridge High Capacity
CWC-E-S051127,Compatible Epson C13S051127 Black Toner Cartridge High Capacity
CWC-E-C13S051158,Compatible Epson C13S051158 Yellow Toner Cartridge High Capacity
CWC-E-C13S051159,Compatible Epson C13S051159 Magenta Toner Cartridge High Capacity
CWC-E-C13S051160,Compatible Epson C13S051160 Cyan Toner Cartridge High Capacity
CWC-E-C13S051161,Compatible Epson C13S051161 Black Toner Cartridge High Capacity
CWC-H-CB435A,Compatible HP 35A Black LaserJet Toner Cartridge (CB435A)
CWC-H-CB436A,Compatible HP 36A Black LaserJet Toner Cartridge (CB436A)
CWC-H-CC364X,Compatible HP 64X High Yield Black LaserJet Toner Cartridge (CC364X)
CWC-H-CE278A,Compatible HP 78A Black LaserJet Toner Cartridge (CE278A)
CWC-H-CE285A,Compatible HP 85A Black LaserJet Toner Cartridge (CE285A)
CWC-H-CE320A,Compatible HP 128A Black LaserJet Toner Cartridge (CE320A)
CWC-H-CE321A,Compatible HP 128A Cyan LaserJet Toner Cartridge (CE321A)
CWC-H-CE322A,Compatible HP 128A Yellow LaserJet Toner Cartridge (CE322A)
CWC-H-CE323A,Compatible HP 128A Magenta LaserJet Toner Cartridge (CE323A)
CWC-H-CE390X,Compatible HP 90X High Yield Black LaserJet Toner Cartridge (CE390X)
CWC-H-CF281X,Compatible HP 81X High Yield Black LaserJet Toner Cartridge (CF281X)
CWC-H-CF380X,Compatible HP 312X High Yield Black LaserJet Toner Cartridge Black (CF380X)
CWC-H-CF381A,Compatible HP 312A Cyan LaserJet Toner Cartridge Cyan (CF381A)
CWC-H-CF382A,Compatible HP 312A Yellow LaserJet Toner Cartridge Yellow (CF382A)
CWC-H-CF383A,Compatible HP 312A Magenta LaserJet Toner Cartridge Magenta (CF383A)
CWC-H-Q2612A,Compatible HP 12A Black LaserJet Toner Cartridge (Q2612A)
CWC-H-Q2613X,Compatible HP 13X High Yield Black LaserJet Toner Cartridge (Q2613X)
CWC-H-Q5949X,Compatible HP 49X High Yield Black LaserJet Toner Cartridge (Q5949X)
CWC-H-Q7551X,Compatible HP 51X High Yield Black LaserJet Toner Cartridge (Q7551X)
CWC-H-Q7553X,Compatible HP 53X High Yield Black LaserJet Toner Cartridge (Q7553X)
CWC-H-338BK,Compatible HP 338 Black Inkjet Cartridge (C8765EE)
CWC-H-339BK,Compatible HP 339 Black Inkjet Cartridge (C8767EE)
CWC-H-350XL,Compatible HP 350XL High Yield Black Inkjet Cartridge (CB336EE)
CWC-H-351XLCOL,Compatible HP 351XL High Yield Tri-colour Inkjet Cartridge (CB338EE)
CWC-H-300XLBK,Compatible HP 300XL High Yield Black Inkjet Cartridge (CC641EE)
CWC-H-300C,Compatible HP 300 Tri-colour Inkjet Cartridge (CC643EE)
CWC-H-300XLCOL,Compatible HP 300XL High Yield Tri-colour Inkjet Cartridge (CC644EE)
CWC-H-301XLCOL,Compatible HP 301XL High Yield Tri-colour Inkjet Cartridge (CH564EE)
CWC-H-970XLBK,Compatible HP 970XL High Yield Black Inkjet Cartridge (CN625AE)
CWC-H-971XLC,Compatible HP 971XL High Yield Cyan Inkjet Cartridge (CN626AE)
CWC-H-971XLM,Compatible HP 971XL High Yield Magenta Inkjet Cartridge (CN627AE)
CWC-H-971XLY,Compatible HP 971XL High Yield Yellow Inkjet Cartridge (CN628AE)
CWC-H-CB540A,Compatible HP 125A Black LaserJet Toner Cartridge (CB540A)
CWC-H-CB541A,Compatible HP 125A Cyan LaserJet Toner Cartridge (CB541A)
CWC-H-CB542A,Compatible HP 125A Yellow LaserJet Toner Cartridge (CB542A)
CWC-H-CB543A,Compatible HP 125A Magenta LaserJet Toner Cartridge (CB543A)
CWC-H-CC530A,Compatible HP 304A Black LaserJet Toner Cartridge (CC530A)
CWC-H-CC531A,Compatible HP 304A Cyan LaserJet Toner Cartridge (CC531A)
CWC-H-CC532A,Compatible HP 304A Yellow LaserJet Toner Cartridge (CC532A)
CWC-H-CC533A,Compatible HP 304A Magenta LaserJet Toner Cartridge (CC533A)
CWC-H-CE410A,Compatible HP 305A Black LaserJet Toner Cartridge (CE410A)
CWC-H-CE410X,Compatible HP 305X High Yield Black LaserJet Toner Cartridge (CE410X)
CWC-H-CE411A,Compatible HP 305A Cyan LaserJet Toner Cartridge (CE411A)
CWC-H-CE412A,Compatible HP 305A Yellow LaserJet Toner Cartridge (CE412A)
CWC-H-CE413A,Compatible HP 305A Magenta LaserJet Toner Cartridge (CE413A)
CWC-H-CF210A,Compatible HP 131A Laser Cartridge Black (CF210A)
CWC-H-CF211A,Compatible HP 131A Cyan LaserJet Toner Cartridge (CF211A)
CWC-H-CF212A,Compatible HP 131A Toner Cartridge Yellow (CF212A)
CWC-H-CF213A,Compatible HP 131A Toner Cartridge Magenta (CF213A)
CWC-H-54BK,Compatible HP 54 Ink Cartridge Original Black 1 pc(s)
CWC-H-980C,Compatible HP 980 Cyan Inkjet Cartridge Cyan (D8J07A)
CWC-H-980M,Compatible HP 980 Magenta Inkjet Cartridge (D8J08A)
CWC-H-980Y,Compatible HP 980 Yellow Inkjet Cartridge (D8J09A)
CWC-H-980BK,Compatible HP 980 Black Inkjet Cartridge (D8J10A)
CWC-H-11C,Compatible HP 11 Cyan Inkjet Cartridge (C4836AE)
CWC-H-11M,Compatible HP 11 Magenta Inkjet Cartridge (C4837AE)
CWC-H-11Y,Compatible HP 11 Yellow Inkjet Cartridge (C4838AE)
CWC-H-78XLCOL,Compatible HP 78XL CMY (6578)
CWC-H-343COL,Compatible HP 343 Tri-colour Inkjet Cartridge (C8766EE)
CWC-H-21BK,Compatible HP 21 Black Inkjet Cartridge (C9351AE)
CWC-H-342COL,Compatible HP 342 Tri-colour Inkjet Cartridge (C9361EE)
CWC-H-336BK,Compatible HP 336 Black Inkjet Cartridge (C9362EE)
CWC-H-344COL,Compatible HP 344 Tri-colour Inkjet Cartridge (C9363EE)
CWC-H-337BK,Compatible HP 337 Black Inkjet Cartridge (C9364EE)
CWC-H-348BK,Compatible HP 348 Colour (C9369AE)
CWC-H-88XLC,Compatible HP 88XL High Yield Cyan Inkjet Cartridge (C9391AE)
CWC-H-88XLM,Compatible HP 88XL High Yield Magenta Inkjet Cartridge (C9392AE)
CWC-H-88XLY,Compatible HP 88XL High Yield Yellow Inkjet Cartridge (C9393AE)
CWC-H-88XLBK,Compatible HP 88XL High Yield Black Inkjet Cartridge (C9396AE)
CWC-H-364XLPHOTOB,Compatible HP 364 XL High Yield PHOTO BLACK Inkjet Cartridge (CB322EE) This is not the standard 364 XL Black
CWC-H-364XLC,Compatible HP 364XL High Yield Cyan Inkjet Cartridge (CB323EE)
CWC-H-364XLM,Compatible HP 364XL High Yield Magenta Inkjet Cartridge (CB324EE)
CWC-H-364XLY,Compatible HP 364XL High Yield Yellow Inkjet Cartridge (CB325EE)
CWC-H-901XLBK,Compatible HP 901XL High Yield Black Inkjet Cartridge (CC654AE)
CWC-H-364XLBK,Compatible HP 364XL High Yield Black Inkjet Cartridge (CN684EE)
CWC-H-27BK,Compatible HP 27 Black Inkjet Cartridge (C8727AE)
CWC-H-28COL,Compatible HP 28 Tri-colour Inkjet Cartridge (C8728AE)
CWC-H-56BK,Compatible HP 56 Black Inkjet Cartridge (C6656AE)
CWC-H-57COL,Compatible HP 57 Tri-colour Inkjet Cartridge (C6657AE)
CWC-H-10BK,Compatible HP 10 Black Inkjet Cartridge (C4844AE)
CWC-H-940XLBK,Compatible HP 940XL High Yield Black Inkjet Cartridge (C4906AE)
CWC-H-940XLC,Compatible HP 940XL High Yield Cyan Inkjet Cartridge (C4907AE)
CWC-H-940XLM,Compatible HP 940XL High Yield Magenta Inkjet Cartridge (C4908AE)
CWC-H-940XLY,Compatible HP 940XL High Yield Yellow Inkjet Cartridge (C4909AE)
CWC-H-363XLBK,Compatible HP 363XL Black Inkjet Cartridge (C8719EE)
CWC-H-363C,Compatible HP 363 Cyan Inkjet Cartridge (C8771EE)
CWC-H-363M,Compatible HP 363 Magenta Inkjet Cartridge (C8772EE)
CWC-H-363Y,Compatible HP 363 Yellow Inkjet Cartridge (C8773EE)
CWC-H-363LC,Compatible HP 363 Light Cyan Inkjet Cartridge (C8774EE)
CWC-H-363LM,Compatible HP 363 Light Magenta Inkjet Cartridge (C8775EE)
CWC-H-920XLC,Compatible HP 920XL High Yield Cyan Inkjet Cartridge (CD972AE)
CWC-H-920XLM,Compatible HP 920XL High Yield Magenta Inkjet Cartridge (CD973AE)
CWC-H-920XLY,Compatible HP 920XL High Yield Yellow Inkjet Cartridge (CD974AE)
CWC-H-920XLBK,Compatible HP 920XL High Yield Black Inkjet Cartridge (CD975AE)
CWC-H-950XLBK,Compatible HP 950XL High Yield Black Inkjet Cartridge (CN045AE)
CWC-H-951XLC,Compatible HP 951XL High Yield Cyan Inkjet Cartridge (CN046AE)
CWC-H-951XLM,Compatible HP 951XL High Yield Magenta Inkjet Cartridge (CN047AE)
CWC-H-951XLY,Compatible HP 951XL High Yield Yellow Inkjet Cartridge (CN048AE)
CWC-H-932XLBK,Compatible HP 932XL High Yield Black Inkjet Cartridge (CN053AE)
